Species,Gear Types
"Yellow-eye mullet, Mulloway, Golden perch",Gillnets And Entangling Nets - Gillnets
Australia cockle,Miscellaneous Gear
Sardine,Surrounding Nets - With purse lines (purse seines)
European pilchard(=Sardine),Surrounding Nets - With purse lines (purse seines)
"Redbait, Blue mackerel, Greenback horse mackerel",Trawls - Midwater trawls
Mackerel icefish,Trawls - Midwater trawls
Patagonia toothfish,Hooks And Lines - Set longlines
Mackerel,Hooks And Lines - Handlines and pole-lines (hand-operated)
"Yellowfin tuna, Bigeye tuna",Hooks And Lines - Longlines
Swordfish,Hooks And Lines - Longlines
Thread herrings nei,Surrounding Nets - With purse lines (purse seines)
St.Paul rock lobster,Traps - Pots
Southern king crab,Traps
"Little skate, Winter skate","Gillnets And Entangling Nets - Gillnets, Trawls - Bottom trawls"
Nephrops,Trawls - Bottom trawls
Western king prawn,Trawls - Bottom trawls
Mackerel,"Surrounding Nets - With purse lines (purse seines), Trawls - Midwater trawls"
Herring,Surrounding Nets - With purse lines (purse seines)
"Herring, European sprat",Trawls - Midwater trawls
Herring,Trawls - Midwater trawls
Herring,Trawls - Midwater trawls
Herring,Trawls - Midwater trawls
Mackerel,Trawls - Midwater trawls
Herring,Trawls - Midwater trawls
Herring,"Surrounding Nets - With purse lines (purse seines), Trawls - Midwater trawls"
Swordfish,Hooks And Lines - Longlines
"Brown crab, Great Atlantic scallop","Dredges - Boat dredges, Traps - Pots"
"Skipjack tuna, Albacore tuna, Yellowfin tuna, Bigeye tuna",Hooks And Lines - Handlines and pole-lines (hand-operated)
Nephrops,Trawls - Bottom trawls - nephrops trawls
Seabob shrimp,Trawls - Bottom trawls - pair trawls
European sprat,"Surrounding Nets - With purse lines (purse seines), Trawls - Midwater trawls"
Northern prawn,Trawls - Bottom trawls - shrimp trawls
Atlantic cod,"Gillnets And Entangling Nets - Gillnets, Hooks And Lines - Longlines, Traps, Trawls - Midwater trawls - otter trawls"
"Yellowfin tuna, Bigeye tuna",Hooks And Lines - Longlines
"Albacore tuna, Yellowfin tuna, Bigeye tuna",Hooks And Lines - Longlines
Skipjack tuna,Surrounding Nets - With purse lines (purse seines)
Herring,Gillnets And Entangling Nets - Driftnets
Cockle,Harvesting Machines - Mechanized dredges
Caribbean spiny lobster,"Miscellaneous Gear, Traps - Pots"
"Cockle, Japanese carpet shell",Dredges - Boat dredges
Skipjack tuna,Hooks And Lines - Handlines and pole-lines (mechanized)
Albacore tuna,Hooks And Lines - Drifting longlines
"Skipjack tuna, Yellowfin tuna",Surrounding Nets - With purse lines (purse seines)
Tristan da Cunha rock lobster,Traps - Pots
"Skipjack tuna, Yellowfin tuna",Surrounding Nets - With purse lines (purse seines) - one boat operated purse seines
"Pink salmon, Chum salmon","Seine Nets - Beach seines, Traps - Stationary uncovered pound nets"
Gulf menhaden,Surrounding Nets - With purse lines (purse seines) - two boats operated purse seines
"Longfin squid, Northern shortfin squid",Trawls - Bottom trawls - otter trawls
"Atlantic cod, Haddock, Saithe(=Pollock)",Trawls - Bottom trawls - otter trawls
Saithe(=Pollock),Trawls - Bottom trawls
"Haddock, Saithe(=Pollock), Acadian redfish",Trawls - Bottom trawls - otter trawls
Atlantic scallop,Dredges - Boat dredges
"Little skate, Winter skate, Spiny dogfish","Gillnets And Entangling Nets - Gillnets, Hooks And Lines - Longlines, Trawls - Bottom trawls"
"Ocean quahog, Atlantic surf clam",Dredges - Boat dredges
"Haddock, Saithe(=Pollock), Acadian redfish",Trawls - Otter trawls
"Albacore tuna, Yellowfin tuna, Swordfish","Hooks And Lines, Hooks And Lines - Longlines"
"Sablefish, Pacific Halibut","Hooks And Lines - Longlines, Hooks And Lines - Set longlines, Traps - Pots"
Sablefish,"Hooks And Lines - Longlines, Miscellaneous Gear"
"Longfin squid, Northern shortfin squid","Trawls - Bottom trawls, Trawls - Bottom trawls - otter trawls"
"Sablefish, Arrow-tooth flounder, Petrale sole, Pacific cod, Dover sole, Lingcod, English sole, Longnose skate, Pacific ocean perch, Darkblotched rockfish, Splitnose rockfish, Widow rockfish, Yellowtail rockfish, Chilipepper rockfish, Bocaccio rockfish, Canary rockfish, Shortspine thornyhead, Longspine thornyhead","Trawls - Bottom trawls - otter trawls, Trawls - Otter trawls"
Atlantic bluefin tuna,Hooks And Lines - Longlines
"Pink salmon, Chum salmon, Coho-silver salmon, Sockeye-red salmon","Seine Nets - Beach seines, Traps - Stationary uncovered pound nets"
Striped venus,Dredges - Boat dredges
Lyrate hard clam,Miscellaneous Gear
"Cockle, Blue mussel",Dredges - Boat dredges
Blue mussel,Dredges - Boat dredges
Walleye pollock,Seine Nets
"Pink salmon, Chum salmon","Gillnets And Entangling Nets - Set gillnets (anchored), Seine Nets - Beach seines, Traps - Stationary uncovered pound nets"
"Pink salmon, Chum salmon, Sockeye-red salmon","Gear not know or not specified, Gillnets And Entangling Nets - Gillnets, Seine Nets - Beach seines"
Common shrimp,Trawls - Bottom trawls - beam trawls
"Northern pike, Walleye",Gillnets And Entangling Nets - Gillnets
Northern prawn,Trawls - Bottom trawls - otter trawls
Greenland halibut,"Hooks And Lines - Longlines, Trawls - Bottom trawls"
Common octopus,Traps
"Brownlip abalone, Greenlip abalone, Roe's abalone",Miscellaneous Gear
"Japanese meagre, Orange-spotted grouper, Malabar grouper, White-blotched grouper, Eightbar grouper, Ruby snapper, Deepsea jewfish, Trumpet emperor, Spangled emperor, Emperor red snapper, Silver seabream, Crimson jobfish, Goldbanded jobfish, Sharptooth jobfish, Greater amberjack",Hooks And Lines
"Banded grouper, Areolate grouper, Duskytail grouper, White-blotched grouper, Spangled emperor, Longface emperor, Blue spotted emperor, Crimson snapper, Yellowstreaked snapper, Malabar blood snapper, Russell's snapper, Emperor red snapper, Brownstripe red snapper, Spotted coralgrouper, Crimson jobfish, Goldbanded jobfish, Sharptooth jobfish",Traps
"Areolate grouper, White-blotched grouper, Spangled emperor, Longface emperor, Blue spotted emperor, Drab emperor, Crimson snapper, Yellowstreaked snapper, Malabar blood snapper, Russell's snapper, Emperor red snapper, Brownstripe red snapper, Spotted coralgrouper, Crimson jobfish, Goldbanded jobfish, Sharptooth jobfish",Traps
Octopuses nei,Traps
"Deep-water redfish, Sand fish",Miscellaneous Gear
Herring,Trawls - Midwater trawls
"Pacific cod, Pacific Halibut",Hooks And Lines - Longlines
Walleye pollock,Trawls - Midwater trawls
"Skipjack tuna, Yellowfin tuna",Surrounding Nets - With purse lines (purse seines)
Manila clam,Dredges - Hand dredges
"Pink salmon, Chum salmon","Gillnets And Entangling Nets - Set gillnets (anchored), Seine Nets - Beach seines, Traps - Stationary uncovered pound nets"
Yesso scallop,"Dredges - Hand dredges, Miscellaneous Gear, Traps"
