Gear Types,Locations
Trawls - Midwater trawls,"27 (Atlantic, Northeast)"
Trawls - Bottom trawls,"27 (Atlantic, Northeast)"
Trawls - Midwater trawls,"27 (Atlantic, Northeast)"
Trawls - Midwater trawls,"27 (Atlantic, Northeast)"
Hooks And Lines - Handlines and pole-lines (hand-operated),"71 (Pacific, Western Central)"
Surrounding Nets - With purse lines (purse seines),"71 (Pacific, Western Central), 77 (Pacific, Eastern Central)"
Surrounding Nets - With purse lines (purse seines),"71 (Pacific, Western Central), 77 (Pacific, Eastern Central)"
"Gillnets And Entangling Nets - Gillnets, Hooks And Lines - Longlines, Trawls - Bottom trawls, Trawls - Midwater trawls","27 (Atlantic, Northeast)"
"Gillnets And Entangling Nets - Gillnets, Trawls - Bottom trawls - otter trawls, Trawls - Midwater trawls - otter trawls","27 (Atlantic, Northeast)"
"Gillnets And Entangling Nets - Gillnets, Trawls - Bottom trawls - pair trawls, Trawls - Midwater trawls - pair trawls","27 (Atlantic, Northeast)"
Surrounding Nets - With purse lines (purse seines),"27 (Atlantic, Northeast)"
Dredges - Boat dredges,"31 (Atlantic, Western Central)"
Traps - Pots,"21 (Atlantic, Northwest)"
Hooks And Lines,"71 (Pacific, Western Central)"
Miscellaneous Gear,"27 (Atlantic, Northeast)"
Trawls - Midwater trawls,"48 (Atlantic, Antarctic)"
Hooks And Lines - Set longlines,"88 (Pacific, Antarctic)"
Dredges - Boat dredges,"27 (Atlantic, Northeast)"
Trawls - Bottom trawls - otter trawls,"27 (Atlantic, Northeast)"
Traps - Pots,"27 (Atlantic, Northeast)"
Traps - Pots,"27 (Atlantic, Northeast)"
Trawls - Midwater trawls,"61 (Pacific, Northwest)"
Trawls - Midwater trawls,"61 (Pacific, Northwest)"
Trawls - Midwater trawls,"61 (Pacific, Northwest)"
"Miscellaneous Gear, Seine Nets - Boat or vessel seines - Danish seines",05 (Europe - Inland waters)
Trawls - Bottom trawls,"27 (Atlantic, Northeast)"
"Gillnets And Entangling Nets - Gillnets, Miscellaneous Gear, Seine Nets - Boat or vessel seines - Danish seines",05 (Europe - Inland waters)
"Hooks And Lines - Longlines, Trawls - Bottom trawls","27 (Atlantic, Northeast)"
Surrounding Nets - With purse lines (purse seines),"34 (Atlantic, Eastern Central), 47 (Atlantic, Southeast)"
Hooks And Lines - Set longlines,"58 (Indian Ocean, Antarctic)"
Hooks And Lines - Longlines,37 (Mediterranean and Black Sea)
Miscellaneous Gear,"27 (Atlantic, Northeast)"
Trawls - Bottom trawls - otter trawls,"27 (Atlantic, Northeast)"
Trawls - Bottom trawls - otter trawls,"27 (Atlantic, Northeast)"
Trawls - Bottom trawls,"27 (Atlantic, Northeast)"
Dredges - Boat dredges,"27 (Atlantic, Northeast)"
Trawls - Bottom trawls - otter trawls,"21 (Atlantic, Northwest)"
Traps - Pots,"21 (Atlantic, Northwest)"
Trawls - Other,"27 (Atlantic, Northeast)"
Trawls - Bottom trawls,"27 (Atlantic, Northeast)"
Trawls - Bottom trawls,"27 (Atlantic, Northeast)"
"Seine Nets - Boat or vessel seines - Scottish seines, Trawls - Bottom trawls, Trawls - Bottom trawls - pair trawls","27 (Atlantic, Northeast)"
Traps,"61 (Pacific, Northwest)"
Dredges - Boat dredges,"27 (Atlantic, Northeast)"
"Seine Nets - Boat or vessel seines - Danish seines, Seine Nets - Boat or vessel seines - pair seines, Trawls - Bottom trawls, Trawls - Bottom trawls - pair trawls","27 (Atlantic, Northeast)"
Trawls - Bottom trawls - otter trawls,"57 (Indian Ocean, Eastern)"
Miscellaneous Gear,"27 (Atlantic, Northeast)"
Traps,"31 (Atlantic, Western Central)"
"Gillnets And Entangling Nets - Gillnets, Traps",05 (Europe - Inland waters)
Trawls - Bottom trawls,"27 (Atlantic, Northeast)"
Surrounding Nets - With purse lines (purse seines),"77 (Pacific, Eastern Central)"
Hooks And Lines - Longlines,"71 (Pacific, Western Central)"
"Hooks And Lines - Handlines and pole-lines (hand-operated), Surrounding Nets - With purse lines (purse seines)","71 (Pacific, Western Central)"
Trawls - Bottom trawls,"47 (Atlantic, Southeast)"
Gillnets And Entangling Nets - Gillnets,"57 (Indian Ocean, Eastern)"
Miscellaneous Gear,"57 (Indian Ocean, Eastern)"
Surrounding Nets - With purse lines (purse seines),"57 (Indian Ocean, Eastern)"
Surrounding Nets - With purse lines (purse seines),"27 (Atlantic, Northeast)"
Trawls - Midwater trawls,"57 (Indian Ocean, Eastern), 81 (Pacific, Southwest)"
Trawls - Midwater trawls,"48 (Atlantic, Antarctic)"
Hooks And Lines - Set longlines,"48 (Atlantic, Antarctic)"
Hooks And Lines - Handlines and pole-lines (hand-operated),"27 (Atlantic, Northeast)"
Hooks And Lines - Longlines,"31 (Atlantic, Western Central)"
Hooks And Lines - Longlines,"31 (Atlantic, Western Central)"
Surrounding Nets - With purse lines (purse seines),"77 (Pacific, Eastern Central)"
Traps - Pots,"51 (Indian Ocean, Western)"
Traps,"41 (Atlantic, Southwest)"
"Gillnets And Entangling Nets - Gillnets, Trawls - Bottom trawls","21 (Atlantic, Northwest)"
Trawls - Bottom trawls,"27 (Atlantic, Northeast)"
Trawls - Bottom trawls,"57 (Indian Ocean, Eastern)"
"Surrounding Nets - With purse lines (purse seines), Trawls - Midwater trawls","27 (Atlantic, Northeast)"
Surrounding Nets - With purse lines (purse seines),"27 (Atlantic, Northeast)"
Trawls - Midwater trawls,"27 (Atlantic, Northeast)"
Trawls - Midwater trawls,"27 (Atlantic, Northeast)"
Trawls - Midwater trawls,"27 (Atlantic, Northeast)"
Trawls - Midwater trawls,"27 (Atlantic, Northeast)"
Trawls - Midwater trawls,"27 (Atlantic, Northeast)"
Trawls - Midwater trawls,"27 (Atlantic, Northeast)"
"Surrounding Nets - With purse lines (purse seines), Trawls - Midwater trawls","27 (Atlantic, Northeast)"
Hooks And Lines - Longlines,"21 (Atlantic, Northwest), 31 (Atlantic, Western Central)"
"Dredges - Boat dredges, Traps - Pots","27 (Atlantic, Northeast)"
Hooks And Lines - Handlines and pole-lines (hand-operated),"47 (Atlantic, Southeast)"
Trawls - Bottom trawls - nephrops trawls,"27 (Atlantic, Northeast)"
Trawls - Bottom trawls - pair trawls,"31 (Atlantic, Western Central)"
"Surrounding Nets - With purse lines (purse seines), Trawls - Midwater trawls","27 (Atlantic, Northeast)"
Trawls - Bottom trawls - shrimp trawls,"27 (Atlantic, Northeast)"
"Gillnets And Entangling Nets - Gillnets, Hooks And Lines - Longlines, Traps, Trawls - Midwater trawls - otter trawls","27 (Atlantic, Northeast)"
Hooks And Lines - Longlines,"71 (Pacific, Western Central)"
Hooks And Lines - Longlines,"77 (Pacific, Eastern Central), 81 (Pacific, Southwest)"
Surrounding Nets - With purse lines (purse seines),"81 (Pacific, Southwest)"
Gillnets And Entangling Nets - Driftnets,"27 (Atlantic, Northeast)"
Harvesting Machines - Mechanized dredges,"27 (Atlantic, Northeast)"
"Miscellaneous Gear, Traps - Pots","31 (Atlantic, Western Central)"
Dredges - Boat dredges,"27 (Atlantic, Northeast)"
Hooks And Lines - Handlines and pole-lines (mechanized),"61 (Pacific, Northwest)"
Hooks And Lines - Drifting longlines,"31 (Atlantic, Western Central), 34 (Atlantic, Eastern Central), 41 (Atlantic, Southwest), 47 (Atlantic, Southeast)"
Surrounding Nets - With purse lines (purse seines),"71 (Pacific, Western Central), 77 (Pacific, Eastern Central)"
Traps - Pots,"47 (Atlantic, Southeast)"
Surrounding Nets - With purse lines (purse seines) - one boat operated purse seines,"71 (Pacific, Western Central), 77 (Pacific, Eastern Central)"
"Seine Nets - Beach seines, Traps - Stationary uncovered pound nets","61 (Pacific, Northwest)"
Surrounding Nets - With purse lines (purse seines) - two boats operated purse seines,"31 (Atlantic, Western Central)"
Trawls - Bottom trawls - otter trawls,"21 (Atlantic, Northwest)"
Trawls - Bottom trawls - otter trawls,"27 (Atlantic, Northeast)"
Trawls - Bottom trawls,"27 (Atlantic, Northeast)"
Trawls - Bottom trawls - otter trawls,"21 (Atlantic, Northwest)"
Dredges - Boat dredges,"21 (Atlantic, Northwest)"
"Gillnets And Entangling Nets - Gillnets, Hooks And Lines - Longlines, Trawls - Bottom trawls","21 (Atlantic, Northwest)"
Dredges - Boat dredges,"21 (Atlantic, Northwest)"
Trawls - Otter trawls,"21 (Atlantic, Northwest)"
"Hooks And Lines, Hooks And Lines - Longlines","21 (Atlantic, Northwest), 31 (Atlantic, Western Central)"
"Hooks And Lines - Longlines, Hooks And Lines - Set longlines, Traps - Pots","67 (Pacific, Northeast)"
"Hooks And Lines - Longlines, Miscellaneous Gear","67 (Pacific, Northeast)"
"Trawls - Bottom trawls, Trawls - Bottom trawls - otter trawls","21 (Atlantic, Northwest)"
"Trawls - Bottom trawls - otter trawls, Trawls - Otter trawls","67 (Pacific, Northeast), 77 (Pacific, Eastern Central)"
Hooks And Lines - Longlines,"27 (Atlantic, Northeast)"
"Seine Nets - Beach seines, Traps - Stationary uncovered pound nets","61 (Pacific, Northwest)"
Dredges - Boat dredges,37 (Mediterranean and Black Sea)
Miscellaneous Gear,"71 (Pacific, Western Central)"
Dredges - Boat dredges,"27 (Atlantic, Northeast)"
Dredges - Boat dredges,"27 (Atlantic, Northeast)"
Seine Nets,"61 (Pacific, Northwest)"
"Gillnets And Entangling Nets - Set gillnets (anchored), Seine Nets - Beach seines, Traps - Stationary uncovered pound nets","61 (Pacific, Northwest)"
"Gear not know or not specified, Gillnets And Entangling Nets - Gillnets, Seine Nets - Beach seines","61 (Pacific, Northwest)"
Trawls - Bottom trawls - beam trawls,"27 (Atlantic, Northeast)"
Gillnets And Entangling Nets - Gillnets,"02 (America, North - Inland waters)"
Trawls - Bottom trawls - otter trawls,"21 (Atlantic, Northwest)"
"Hooks And Lines - Longlines, Trawls - Bottom trawls","21 (Atlantic, Northwest)"
Traps,"27 (Atlantic, Northeast)"
Miscellaneous Gear,"57 (Indian Ocean, Eastern)"
Hooks And Lines,"57 (Indian Ocean, Eastern)"
Traps,"57 (Indian Ocean, Eastern)"
Traps,"57 (Indian Ocean, Eastern)"
Traps,"57 (Indian Ocean, Eastern)"
Miscellaneous Gear,"57 (Indian Ocean, Eastern)"
Trawls - Midwater trawls,"27 (Atlantic, Northeast)"
Hooks And Lines - Longlines,"61 (Pacific, Northwest), 67 (Pacific, Northeast)"
Trawls - Midwater trawls,"61 (Pacific, Northwest)"
Surrounding Nets - With purse lines (purse seines),"71 (Pacific, Western Central), 77 (Pacific, Eastern Central)"
Dredges - Hand dredges,"61 (Pacific, Northwest)"
"Gillnets And Entangling Nets - Set gillnets (anchored), Seine Nets - Beach seines, Traps - Stationary uncovered pound nets","61 (Pacific, Northwest)"
"Dredges - Hand dredges, Miscellaneous Gear, Traps","61 (Pacific, Northwest)"
